id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,68217.0,1364212366735,1,1364213662810,44898956431.0,71315.0,67790.0,-2317.180090096037,-3.28517,-45637550384.053955,-3.23705,19998862.0,19998881.0,21000000.0,126080.0,-45.89347,2025-10-06T18:57:42.558Z,67.81,100502.34782,2013-07-06T00:00:00.000Z,,2026-03-07T01:33:00.579Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1978.3,238816259770,2,238816259770,18889367346.0,2091.13,1957.7,-89.47311246781783,-4.32703,-12229732246.831024,-4.87151,120692062.0128698,120692062.0128698,,4946.05,-60.00245,2025-08-24T19:21:03.333Z,0.432979,456804.07033,2015-10-20T00:00:00.000Z,"{'times': 37.775226675187675, 'currency': 'btc', 'percentage': 3777.5226675187673}",2026-03-07T01:33:00.756Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.99994,183958494446,3,189425078446,69046732909.0,1.0,0.999895,-3.9323961813165e-05,-0.00393,-88141055.91470337,-0.04789,183970396058.4811,189437333731.1362,,1.32,-24.42399,2018-07-24T00:00:00.000Z,0.572521,74.65607,2015-03-02T00:00:00.000Z,,2026-03-07T01:33:00.542Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,628.41,85690364748,4,85690364170,890249160.0,651.14,625.57,-17.96629969068499,-2.77955,-2906056289.260605,-3.28011,136358471.77,136358470.85,200000000.0,1369.99,-54.13059,2025-10-13T08:41:24.131Z,0.0398177,1578110.54237,2017-10-19T00:00:00.000Z,,2026-03-07T01:33:00.337Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.37,83651699833,5,136604115750,2312235908.0,1.41,1.35,-0.03456387960655749,-2.46799,-2242964294.989853,-2.6113,61227832454.0,99985701766.0,100000000000.0,3.65,-62.54035,2025-07-18T03:40:53.808Z,0.00268621,50749.41993,2014-05-22T00:00:00.000Z,,2026-03-07T01:33:00.471Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.999966,77346412659,6,77347142410,10230583047.0,1.0,0.999808,6.273e-05,0.00627,185925050.0,0.24096,77352899858.40614,77353629670.38388,,1.043,-4.17471,2018-11-15T00:00:00.000Z,0.877647,13.93002,2023-03-11T08:02:13.981Z,,2026-03-07T01:33:00.971Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,84.64,48298325603,7,52630366823,3894449069.0,89.14,83.84,-3.762867276999799,-4.25659,-2217230712.276085,-4.3892,570556137.1532934,621731259.1360703,,293.31,-71.144,2025-01-19T11:15:27.957Z,0.500801,16800.53919,2020-05-11T19:35:23.449Z,,2026-03-07T01:33:00.339Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.284799,26982674891,8,26982785242,427280454.0,0.28713,0.284544,-0.00025158600130365,-0.08826,-23265134.581630707,-0.08615,94742101290.4572,94742488753.65,,0.431288,-33.96561,2024-12-04T00:10:40.323Z,0.00180434,15684.07489,2017-11-12T00:00:00.000Z,"{'times': 148.8940183200011, 'currency': 'usd', 'percentage': 14889.40183200011}",2026-03-07T01:33:05.795Z
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.024,16009535453,9,16009535453,25378005.0,1.038,1.024,-0.01090229999999992,-1.05364,-135005567.48260307,-0.83623,15637046921.597,15637046921.597,,1.038,-1.37412,2026-03-07T00:30:33.757Z,0.155357,559.01346,2025-10-31T14:27:24.456Z,,2026-03-07T01:32:58.184Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.091409,14022217821,10,14023578983,1067296744.0,0.094189,0.090114,-0.001943645258561971,-2.08205,-330202551.2164593,-2.30068,153288646383.7052,153303526383.7052,,0.731578,-87.50527,2021-05-08T05:08:23.458Z,8.69e-05,105083.82155,2015-05-06T00:00:00.000Z,,2026-03-07T01:32:58.005Z
